candidate_name,candidate_id,year,office,district,TOT,FND,COMM,ADS,INFO,OVERHEAD,CONTRIB,GENERAL,LOGTOT,LOGFND,LOGCOMM,LOGADS,LOGINFO,LOGOVERHEAD,LOGCONTRIB,LOGGENERAL,votes_name,party,votes,total_votes,vote_share,winning_votes,winner,incumbent,race_total,opposing_total,contested
"KIM, JANE",1380847,2016,S,11,2867249.38,28724.46,313739.8,957453.14,170600.0,1241484.88,8537.74,1470517.4,14.868863723991675,10.265504303584642,12.656319258939511,13.772032058891561,12.047076914039714,14.031818705040248,9.052251614757726,14.201124869616145,Jane Kim,DEM,201316,410778,49.008466860445296,209462,0,0,6470293.75,3603044.37,1
"WIENER, SCOTT D.",1376435,2016,S,11,3603044.37,99346.12,562031.21,902377.1,350905.9,1456769.16,3000.0,1914660.33,15.097289704392125,11.506365193367314,13.239312661141712,13.712787782630887,12.768273375337053,14.191731637484471,8.006367567650246,14.46505079149622,Scott Wiener,DEM,209462,410778,50.991533139554704,209462,1,0,6470293.75,2867249.38,1
"CIARDELLA, RICHARD",1383605,2016,S,13,2014.0,0.0,0.0,0.0,0.0,2014.0,0.0,0.0,7.607878073278508,0.0,0.0,0.0,0.0,7.607878073278508,0.0,0.0,Rick Ciardella,REP,94269,390669,24.130145980356772,296400,0,0,827042.22,825028.22,1
"HILL, JERRY A.",1290757,2016,S,13,825028.22,107656.54,123420.0,4587.08,88750.0,191760.57,175047.0,324413.62,13.623172870792413,11.586701253385613,11.723348451875058,8.430998935038067,11.393578707337664,12.164002841569431,12.072809788275373,12.689774585545493,Jerry Hill,DEM,296400,390669,75.86985401964323,296400,1,1,827042.22,2014.0,1
"BEALL, JIM",1251768,2016,S,15,2997005.47,135713.73,174643.41,1447610.61,92882.73,399365.65,43295.22,1850850.48,14.913124171455625,11.818303019776184,12.070501516915012,14.185424900017619,11.439093008704672,12.897632692259286,10.675797515287169,14.431155810335056,Jim Beall,DEM,196089,313531,62.54214096851667,196089,1,1,3747227.41,750221.94,1
"CAMPOS, NORA",1318599,2016,S,15,750221.94,28779.83,246978.21,2000.0,73330.58,68174.84,24563.480000000003,351088.62,13.528124361736806,10.267430073544137,12.41705539309514,7.600902459542082,11.202732990506997,11.129830860809676,10.109016066034538,12.768793949213116,Nora Campos,DEM,117442,313531,37.45785903148333,196089,0,0,3747227.41,2997005.47,1
"KAIN, PALMER",1363609,2016,S,17,30762.95,857.0,3514.2,0.0,8530.98,16568.04,150.0,12902.18,10.334066322792241,6.753437918597781,8.164567182323793,0.0,9.051459522514902,9.715230817365118,5.010635294096256,9.465151568320245,Palmer Kain,REP,141339,410145,34.46073949456899,268806,0,0,705368.5399999999,674605.59,1
"MONNING, WILLIAM W.",1297947,2016,S,17,674605.59,36039.98,2785.63,29470.77,233787.38,98893.68,191443.79,302083.76,13.421883487967289,10.492384156783164,7.9322293386285345,10.291154203656435,12.362167348804483,11.501800612636671,12.162349519711823,12.618459608895707,Bill Monning,DEM,268806,410145,65.539260505431,268806,1,1,705368.5399999999,30762.949999999953,1
"JACKSON, HANNAH-BETH",1005197,2016,S,19,654468.07,5337.3,55443.43,0.0,95472.84,322418.17999999993,122666.85,156253.56999999998,13.391578077809735,8.582475186108839,10.923118500636866,0.0,11.466597088114307,12.683604677602945,11.717227423047056,11.959235415337634,Hannah-Beth Jackson,DEM,224834,356432,63.07907258607533,224834,1,1,657167.07,2699.0,1
"WALCH, COLIN",1383292,2016,S,19,2699.0,0.0,150.42,0.0,0.0,2548.58,0.0,150.42,7.900636613018005,0.0,5.013431381398257,0.0,0.0,7.8432916203017315,0.0,5.013431381398257,Colin Patrick Walch,REP,131598,356432,36.92092741392467,224834,0,0,657167.07,654468.07,1
"ERVIN, JOHNATHON",1375590,2016,S,21,1065872.56,7787.09,47721.91,550912.85,114116.32,286964.39,13359.85,720538.17,13.879304326842716,8.960222513234607,10.773145900557557,13.219331908656189,11.644973558049701,12.56711341038856,9.500009219482695,13.487753670117714,Johnathon Levar Ervin,DEM,142886,302929,47.168148311980694,160043,0,0,3870005.7600000002,2804133.2,1
"WILK, SCOTT T.",1339656,2016,S,21,2804133.2,36250.93,98388.52,575589.8099999999,110207.08,339945.59,152620.16999999998,820436.34,14.846605029574691,10.498220315126146,11.496679409567593,13.263150550572488,11.610116420461171,12.736540854374509,11.935707564720607,13.617591599664975,Scott Wilk,REP,160043,302929,52.831851688019306,160043,1,0,3870005.7600000002,1065872.56,1
"MORRELL, MICHAEL L.",1252076,2016,S,23,813276.56,34597.12,144397.47999999998,3558.96,86818.37,325375.75999999995,92348.15,269371.93,13.608826502886224,10.451525720587208,11.880325053765038,8.177223646334923,11.371573514201415,12.69273597806056,11.433320952941624,12.503848343023465,Mike Morrell,REP,184470,326003,56.585368846298955,184470,1,0,813276.56,0.0,1
"O'DONNELL, RONALD J.",1363147,2016,S,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ronald J. O'Donnell,DEM,141533,326003,43.41463115370104,184470,0,0,813276.56,813276.56,1
"ANTONOVICH, MICHAEL D.",1000095,2016,S,25,2097528.38,67080.96,309049.96,622145.3,220546.5,805429.51,14155.0,1218822.72,14.556270247625287,11.113655527104866,12.641258225658515,13.340928945726958,12.303863835989802,13.599130966907051,9.557823197546,14.013395967206455,Michael D. Antonovich,REP,159014,377256,42.15015798290816,218242,0,0,4565371.3100000005,2467842.9300000006,1
"PORTANTINO, ANTHONY",1267043,2016,S,25,2467842.93,25571.64,608102.99,523664.09,358478.79,322934.7,66370.08,1515817.51,14.71885501935653,10.149239203889822,13.31809953805056,13.168605708124698,12.789624774091687,12.685205414583592,11.103001631503112,14.231465461949238,Anthony J. Portantino,DEM,218242,377256,57.849842017091845,218242,1,0,4565371.3100000005,2097528.3800000004,1
"FAZIO, STEVE",1379424,2016,S,27,1810556.7,10900.95,142733.7,968185.18,132198.88,281868.46,1150.0,1254018.7100000002,14.409144925013116,9.296605220382677,11.868735935359352,13.78317864961578,11.792062734351733,12.549195787196078,7.047517221357295,14.04186392031888,Steve Fazio,REP,172827,391482,44.14685732677365,218655,0,0,5042052.52,3231495.8199999994,1
"STERN, HENRY",1374151,2016,S,27,3231495.82,105680.0,275886.54,335501.02,306339.0,1277995.7999999998,15922.1,1023406.56,14.988455690167305,11.568170939196207,12.527744973223356,12.723380275627706,12.632447610866413,14.06080362752924,9.675463360246813,13.838647385338447,Henry Stern,DEM,218655,391482,55.85314267322635,218655,1,0,5042052.52,1810556.6999999997,1
"CHANG, LING-LING",1357038,2016,S,29,2394823.44,121561.83,431526.82,955269.1,77667.48,553157.54,4575.0,1586025.23,14.68882006585916,11.708178301211591,12.975084942846367,13.769748359875024,11.260191915927901,13.22339812239248,8.428361977709622,14.276741588994913,Ling Ling Chang,REP,157732,317962,49.60718576433662,160230,0,0,3648121.2199999997,1253297.7799999998,1
"NEWMAN, JOSH B.",1377780,2016,S,29,1253297.78,0.0,85552.90999999999,627791.65,162496.27000000002,263972.35,3550.0,875840.8300000002,14.04128885927434,0.0,11.356890293937626,13.349963622887394,11.998410326642333,12.483599641794894,8.174702882469461,13.682939652495675,Josh Newman,DEM,160230,317962,50.39281423566339,160230,1,0,3648121.2199999997,2394823.4399999995,1
"REED, RICHARD",1383678,2016,S,31,11872.86,0.0,1862.96,0.0,0.0,9869.84,0.0,1862.96,9.382010402136656,0.0,7.5299218996249815,0.0,0.0,9.197238921556515,0.0,7.5299218996249815,Richard Reed,REP,109238,276812,39.46288455702787,167574,0,0,1239247.5,1227374.64,1
"ROTH, RICHARD D.",1343716,2016,S,31,1227374.64,120320.68,127251.7,249547.0,152300.0,431037.73,13542.55,649419.3799999999,14.020388007162655,11.69791579076344,11.75392229385202,12.427402553186546,11.933607538883253,12.973950905857679,9.513591859605725,13.383833981137528,Richard Roth,DEM,167574,276812,60.53711544297212,167574,1,1,1239247.5,11872.860000000102,1
"LARA, RICARDO",1304215,2016,S,33,1624738.05,108087.75,62426.62,150.0,273340.0,490046.34,367039.93,444004.37,14.30085716075186,11.590698676206912,11.041747065952618,5.010635294096256,12.518471720518795,13.102255237043787,12.813225922208213,13.003589683708267,Ricardo Lara,DEM,177971,226287,78.64835363940482,177971,1,1,1624738.05,0.0,0
"BRADFORD, STEVEN",1235136,2016,S,35,1838841.34,10252.73,610697.7699999999,4670.0,379212.88,592806.6699999999,34464.7,1004833.38,14.424646224715007,9.235299290567376,13.322357467657154,8.448914350662942,12.84585301503089,13.292623604587623,10.44769089079906,13.820332294685686,Steven Bradford,DEM,135353,252808,53.53984051137623,135353,1,0,2703894.35,865053.01,1
"FURUTANI, WARREN",1265441,2016,S,35,865053.01,28302.19,314434.34,440.0,313497.16000000003,179250.94,2575.0,656673.69,13.67054606727327,10.250694465796263,12.658530557491266,6.0867747269123065,12.655545580002913,12.09654200252064,7.853604813097838,13.394942507420335,Warren T. Furutani,DEM,117455,252808,46.46015948862377,135353,0,0,2703894.35,1838841.34,1
"GRAYSON, ARI E.",1383650,2016,S,37,43250.33,0.0,909.36,0.0,9222.67,16973.84,2222.61,10132.03,10.67476014238872,0.0,6.812741055378455,0.0,9.129419862480665,9.739428614303977,7.706437459976555,9.223456972033091,Ari Grayson,DEM,172455,400935,43.013206629503536,228480,0,0,1119982.4400000002,1076732.11,1
"MOORLACH, JOHN",1241305,2016,S,37,1076732.11,58376.35,367308.23,26467.78,177394.63,324026.61,108020.0,629546.99,13.889441187965234,10.974666121042118,12.813956638308705,10.183683423173571,12.086132077824482,12.688580921031642,11.590071674146884,13.352755776225502,John M. W. Moorlach,REP,228480,400935,56.98679337049647,228480,1,0,1119982.4400000002,43250.330000000075,1
"ATKINS, TONI G.",1314678,2016,S,39,4148181.45,171598.13,86574.0,16900.870000000006,553113.3099999999,872801.6799999998,828559.12,828186.3099999998,15.238180591347813,12.052910568540726,11.368754818525309,9.735120378876092,13.22331816005772,13.679463638338742,13.627443471178582,13.626993420133273,Toni Atkins,DEM,258686,413739,62.52395834088641,258686,1,0,4228667.3100000005,80485.86000000034,1
"RENISON, JOHN",1383698,2016,S,39,80485.86,1193.87,8189.23,0.0,33762.0,20747.620000000006,50.0,43145.1,11.295836795804092,7.084955410302995,9.010575155333212,0.0,10.427091188661334,9.940186820285254,3.912023005428147,10.672324132705397,John Renison,REP,155053,413739,37.4760416591136,258686,0,0,4228667.3100000005,4148181.4500000007,1
"DAHLE, BRIAN",1224716,2016,A,1,748971.19,35136.7,8265.8,9024.24,98447.48,220447.03,197537.94,150874.21999999994,13.52645579714008,10.467001447257273,9.019881799279323,9.10766956912886,11.497278486990052,12.303412718252599,12.19368594614005,11.924201788543884,Brian Dahle,REP,148657,201528,73.7649358898019,148657,1,1,748971.19,0.0,0
"WOOD, JAMES D.",1353393,2016,A,2,1343554.71,179989.68,102460.07,0.0,0.0,242283.93,418379.0,282449.75,14.110829428203356,12.100654794895394,11.537228440686402,0.0,0.0,12.397865581864762,12.944142999268642,12.551255937640605,Jim Wood,DEM,138020,189265,72.92420679998943,138020,1,1,1343554.71,0.0,0
"GALLAGHER, JAMES",1357069,2016,A,3,595937.61,70177.14,12917.05,2900.0,107178.32,156511.84,178806.52,193172.51,13.297891259359972,11.158777895955708,9.466303423092373,7.972466015974565,11.582249268359845,11.96088694105273,12.094059606381093,12.171338902852009,James Gallagher,REP,108910,172777,63.035010446992366,108910,1,1,666466.05,70528.44000000006,1
"RITCHIE, EDWARD H",1383126,2016,A,3,70528.44,1600.0,14003.45,0.0,14000.0,35221.03,0.0,29603.45,11.16377131171006,7.377758908227872,9.547059006810294,0.0,9.546812608597397,10.46939862636988,0.0,10.29564618757431,Edward Ritchie,DEM,63867,172777,36.964989553007634,108910,0,0,666466.05,595937.6100000001,1
"AGUIAR-CURRY, CECILIA",1379566,2016,A,4,752510.86,57234.59,145978.52,5013.05,80725.0,290746.82,44342.44,288951.16,13.531170707394715,10.95491371487798,11.891214766579107,8.519799791281187,11.298803595626474,12.5802081330898,10.699697510975145,12.574012956273252,Cecilia M. Aguiar-Curry,DEM,118772,186942,63.53414428004408,118772,1,0,797275.4299999999,44764.56999999995,1
"SCHAUPP, CHARLES E.",1301596,2016,A,4,44764.57,0.0,3503.62,975.0,11000.0,25516.79,1350.0,15478.62,10.709172257303367,0.0,8.161551998686843,6.882437470997847,9.305650551780507,10.147091945848233,7.2078598714324755,9.64721499588304,Charlie Schaupp,REP,68170,186942,36.46585571995592,118772,0,0,797275.4299999999,752510.86,1
"BIGELOW, FRANK",1342402,2016,A,5,1399553.97,39422.49,56974.95,104229.64,10042.26,262888.09,336186.52,210669.34,14.151664150966859,10.582091744617461,10.950366976535614,11.554351820827375,9.2145574675162,12.47948370729544,12.725421403971382,12.258045074253786,Frank Bigelow,REP,121644,188593,64.50080331719629,121644,1,1,1399553.97,0.0,1
"CARABAS, ROBERT J",1381784,2016,A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Robert Carabas,DEM,66949,188593,35.499196682803706,121644,0,0,1399553.97,1399553.97,1
"CAPLES, BRIAN",1363003,2016,A,6,23078.02,0.0,0.0,138.0,350.0,18015.42,0.0,488.0,10.046635928380462,0.0,0.0,4.927253685157205,5.857933154483459,9.798983336815507,0.0,6.190315405853148,Brian Caples,DEM,81919,231334,35.411569419108304,149415,0,0,784483.86,761405.84,1
"KILEY, KEVIN",1377646,2016,A,6,761405.84,9146.67,169351.91999999998,47932.0,147231.75,128428.31,40800.0,373662.34,13.542921792982547,9.121145157603133,12.039734195648437,10.777538618802406,11.89976315495332,11.763126128801265,10.616437360392252,12.831107834371783,Kevin Kiley,REP,149415,231334,64.5884305808917,149415,1,0,784483.86,23078.02000000002,1
"BROWN, RYAN K.",1383289,2016,A,7,6150.18,0.0,131.81,0.0,0.0,5370.13,461.21,131.81,8.724236628664936,0.0,4.881361491724374,0.0,0.0,8.588607395775998,6.1338534707270576,4.881361491724374,Ryan K. Brown,REP,48097,159209,30.209975566707914,111112,0,0,653070.17,646919.99,1
"MC CARTY, KEVIN",1314046,2016,A,7,646919.99,13382.26,86032.48,204.43,144000.0,123028.48,146134.0,243619.17,13.379977902775853,9.501685228237864,11.362480178353216,5.320225618596917,11.877568578558137,11.72017115226766,11.892279287981225,12.403361506302906,Kevin McCarty,DEM,111112,159209,69.79002443329209,111112,1,1,653070.17,6150.180000000051,1
"BLOISE, NICK E.",1383732,2016,A,8,36033.0,227.7,1990.74,300.0,2736.0,1838.48,0.0,5254.44,10.492190464222599,5.428028973069693,7.596261707892487,5.703782474656202,7.914252278742441,7.51669442224865,0.0,8.566828712456557,Nick Bloise,REP,78848,183400,42.99236641221374,104552,0,0,849895.92,813862.92,1
"COOLEY, KEN",1240640,2016,A,8,813862.92,110575.91,138199.56,717.0,50000.0,191338.48,259467.78,299492.47,13.609547227854906,11.613457532411006,11.836454006519034,6.57507584059962,10.819778284410283,12.161799285226527,12.466387812029648,12.609844554318403,Ken Cooley,DEM,104552,183400,57.00763358778625,104552,1,1,849895.92,36033.0,1
"COOPER, JIM",1354349,2016,A,9,1021813.27,233413.11,65589.79,3214.0,5500.0,251370.88,311319.16,307716.9,13.837089322680391,12.360565166922946,11.091175322575078,8.075271546297458,8.612503371220562,12.434684737084847,12.648573902881324,12.636935483428795,Jim Cooper,DEM,109979,164708,66.77210578721132,109979,1,1,1028879.01,7065.739999999991,1
"GORSULOWSKY, TIMOTHY S.",1364380,2016,A,9,7065.74,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,8.863013031317962,0.0,0.0,0.0,0.0,8.411832675758411,0.0,0.0,Tim Gorsulowsky,REP,54729,164708,33.2278942127887,109979,0,0,1028879.01,1021813.27,1
"JACOBI, VERONICA S.",1363625,2016,A,10,8083.0,0.0,0.0,0.0,0.0,6023.0,0.0,0.0,8.997518369733847,0.0,0.0,0.0,0.0,8.703340753043719,0.0,0.0,"Veronica ""Roni"" Jacobi",DEM,65355,205562,31.793327560541346,140207,0,0,235947.65,227864.65,1
"LEVINE, MARC",1338897,2016,A,10,227864.65,38407.45,1648.17,0.0,8000.0,45978.13000000001,36138.7,48055.62,12.336507091311502,10.556006730174898,7.407420860489075,0.0,8.987196820661973,10.735921127633672,10.495119592276216,10.780114369057417,Marc Levine,DEM,140207,205562,68.20667243945866,140207,1,1,235947.65,8083.0,1
"FRAZIER JR., JAMES L.",1341572,2016,A,11,1311529.6,212687.04,27610.98,40591.5,109449.56,153437.72000000006,589810.36,390339.08,14.086704647611198,12.26757706844339,10.22596879868038,10.61131396406513,11.603219082842426,11.941050030778506,13.287556340485413,12.874771076262805,Jim Frazier,DEM,111592,173819,64.20011621284209,111592,1,1,1314358.6,2829.0,1
"MILLER, DAVID J.",1378817,2016,A,11,2829.0,0.0,270.0,200.0,0.0,0.0,0.0,470.0,7.947678571301568,0.0,5.598421958998375,5.298317366548036,0.0,0.0,0.0,6.1527326947041034,Dave Miller,REP,62227,173819,35.7998837871579,111592,0,0,1314358.6,1311529.6,1
"FLORA, HEATH",1376113,2016,A,12,381758.72,12480.96,127239.34,2943.84,71347.0,150419.75000000006,0.0,214011.14,12.852544064994197,9.431959562041914,11.75382515880153,7.987470130545782,11.17531057577014,11.921184998365982,0.0,12.273783348723883,Heath Flora,REP,81680,156113,52.32107511866404,81680,1,0,922141.78,540383.06,1
"VOGEL, KEN",1359744,2016,A,12,540383.06,4746.48,138505.99,50952.93,116968.02,112040.74,0.0,311173.42,13.200033537426592,8.465158569681881,11.838668852771788,10.838657544357543,11.669655843084195,11.62661783413624,0.0,12.648105656327564,Ken Vogel,REP,74433,156113,47.67892488133595,81680,0,0,922141.78,381758.72,1
"EGGMAN, SUSAN",1337454,2016,A,13,717600.41,108685.81,55909.33,1442.5,46250.0,159211.75999999998,253855.21,212287.64,13.4836681610755,11.596216521809561,10.931486550403905,7.274132998382255,10.741816742940571,11.977990419010947,12.444519344096385,12.265697426495821,Susan Talamantes Eggman,DEM,86315,133198,64.80202405441523,86315,1,1,734704.66,17104.25,1
"LINCOLN, KEVIN",1383977,2016,A,13,17104.25,1129.68,5835.04,0.0,0.0,6470.83,0.0,6964.72,9.747082249621991,7.029689685760998,8.671636399881393,0.0,0.0,8.775059663656696,0.0,8.848612684400797,"Kevin J. Lincoln, II",REP,46883,133198,35.19797594558477,86315,0,0,734704.66,717600.41,1
"GRAYSON, TIM",1376434,2016,A,14,1036782.65,37624.86,89996.23,4390.0,136615.13,187045.73,944.0,268626.22,13.851632870258033,10.53542028111402,11.407523059546149,8.387084506069218,11.82492298133224,12.139108411394904,6.8501261661454995,12.501076175581774,Tim Grayson,DEM,107653,174953,61.53252587837876,107653,1,0,2432980.02,1396197.37,1
"TORLAKSON, MAE",1382779,2016,A,14,1396197.37,54752.14,351711.09,240407.31,100750.0,550986.0800000001,7025.85,747620.54,14.14926293483238,10.910571733672874,12.770565350521087,12.390089888834796,11.52039747980893,13.219464824658036,8.857351483323749,13.524650828771465,Mae Cendaña Torlakson,DEM,67300,174953,38.46747412162124,107653,0,0,2432980.02,1036782.6499999999,1
"CHIARA, CLAIRE",1382452,2016,A,15,3224.0,0.0,0.0,0.0,0.0,3224.0,0.0,0.0,8.07837810362652,0.0,0.0,0.0,0.0,8.07837810362652,0.0,0.0,Claire Chiara,REP,22528,212058,10.62350866272435,189530,0,0,1253813.45,1250589.45,1
"THURMOND, TONY",1295704,2016,A,15,1250589.45,166738.47,17387.09,8150.0,188629.0,192470.54,314150.0,380904.56,14.039125558129008,12.024181815959931,9.763483255795522,9.005773206234908,12.147537401942055,12.16769838203728,12.657625857831093,12.850304124041138,Tony Thurmond,DEM,189530,212058,89.37649133727565,189530,1,1,1253813.45,3224.0,1
"BAKER, CATHARINE",1358730,2016,A,16,3589081.25,35470.62,867573.7200000002,1145115.72,223608.12,1012565.34,11950.0,2271768.18,15.093406808491494,10.476460027175094,13.67345576701966,13.951016255365884,12.317650334451654,13.827997609213982,9.388486557359656,14.636069020166707,Catharine Baker,REP,129585,231875,55.885714285714286,129585,1,1,4841122.13,1252040.88,1
"COOK-KALLIO, CHERYL",1381102,2016,A,16,1252040.88,36278.81,81217.70999999999,47000.0,238720.0,722125.0000000001,10865.85,403216.52,14.040285481866311,10.498989103250114,11.304888605816947,10.757902880692196,12.383046595997534,13.489953533083565,9.293380122488301,12.90722896712218,Cheryl Cook-Kallio,DEM,102290,231875,44.114285714285714,129585,0,0,4841122.13,3589081.25,1
"CHIU, DAVID",1360423,2016,A,17,790432.13,85033.67,178798.54,1749.91,99012.66,151400.9,270431.63,364594.78,13.580335074893238,11.350802574685625,12.094014976140116,7.467319637023637,11.50300299972881,11.92768656448565,12.507774591161992,12.806541824064418,David Chiu,DEM,172153,199570,86.26196322092498,172153,1,1,794315.4,3883.2700000000186,1
"DEL CARLO, MATTHEW S.",1346011,2016,A,17,3883.27,0.0,0.0,0.0,0.0,3883.27,0.0,0.0,8.264432861179866,0.0,0.0,0.0,0.0,8.264432861179866,0.0,0.0,Matthew Del Carlo,REP,27417,199570,13.73803677907501,172153,0,0,794315.4,790432.13,1
"BONTA, ROB",1339733,2016,A,18,2970531.12,395465.56,10696.84,1780.0,0.0,224497.37,530814.39,407942.4,14.90425132307384,12.887818982752176,9.277703649729556,7.48436864328613,0.0,12.321619271173775,13.182167691095323,12.918881266949375,Rob Bonta,DEM,156163,179436,87.02991595889343,156163,1,1,2979054.35,8523.229999999981,1
"SLONSKY-BREAULT, ROSEANN",1382453,2016,A,18,8523.23,0.0,308.11,0.0,5000.0,2273.09,942.03,5308.11,9.050550655961306,0.0,5.730456862070388,0.0,8.517193191416238,7.728895418317242,6.848037121203013,8.576991118673693,Roseann Slonsky-Breault,REP,23273,179436,12.970084041106578,156163,0,0,2979054.35,2970531.12,1
"TAYLOR, CARLOS",1383127,2016,A,19,6276.87,0.0,870.64,0.0,0.0,4645.21,761.02,870.64,8.744626727572557,0.0,6.7692285733878075,0.0,0.0,8.443591860129121,6.634659638725276,6.7692285733878075,"Carlos ""Chuck"" Taylor",REP,37180,187232,19.85771662963596,150052,0,0,782928.08,776651.21,1
"TING, PHIL",1343138,2016,A,19,776651.21,115358.62,6250.0,10634.75,87201.75,195042.75,319050.0,219445.12,13.562746635388189,11.655800989895212,8.740336742730447,9.271882220070776,11.375979678503034,12.18097404428756,12.673103109296491,12.298857457457414,Phil Ting,DEM,150052,187232,80.14228337036404,150052,1,1,782928.08,6276.869999999995,1
"QUIRK, BILL (WILLIAM J.)",1336944,2016,A,20,679830.53,21740.94,60119.94,598.0,159779.68,108509.98,322755.69,242238.56,13.429598825503442,9.98695239801092,11.004096845862419,6.3935907539506305,11.981551145280239,11.594597429299426,12.684650938297873,12.397678304695717,Bill Quirk,DEM,114001,153508,74.26388201266384,114001,1,1,700384.6,20554.06999999995,1
"WONG, LUIS A.",1383284,2016,A,20,20554.07,0.0,124.99,0.0,500.0,8370.75,240.0,624.99,9.93081425384235,0.0,4.82823373410213,0.0,6.214608098422191,9.032498765203934,5.48063892334199,6.4377356496084,Luis A. Wong,REP,39507,153508,25.736117987336165,114001,0,0,700384.6,679830.53,1
"GRAY, ADAM C.",1315410,2016,A,21,1900550.68,214526.29,145318.52,23526.0,186980.0,277290.55000000005,366974.65,570350.81,14.457654233722556,12.276187573942408,11.886683301862687,10.065861471520387,12.138756938245304,12.532821152407964,12.813048051081536,13.254006906635626,Adam Gray,DEM,85990,123220,69.78574906670994,85990,1,1,1900550.68,0.0,1
"OPINSKI, GREGORY J.",1383342,2016,A,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Opinski,REP,37230,123220,30.21425093329005,85990,0,0,1900550.68,1900550.68,1
